product_category,product_name,product_description
Dining & Kitchen,Uma Dining Chair,"A sense of renewal comes forth in the Uma Dining Chair. Captivating, the intricately curved legs and plush cushioning of the Uma creates an overwhelming sense of sophisticated elegance in any dining space."
Dining & Kitchen,Trio Dining Table,"An emblematic expression of timeless elegance, Trio Dining Table will transport you in an atmosphere of sophisticated luxury with its minimal and contemporary shape. Grounded by the unique three-legged base, the Trio offers a sense of modern opulence in any space."
Dining & Kitchen,Ava Counter Stool,"A nod to Italian modernism and the art deco era. The Ava Counter Stool merges function and form effortlessly. Molded to fit your body, the Ava features a beautifully curved back, sleek brass frame, and a plush upholstered seat and backrest. Available in luxurious and long-lasting fabric options to suit any space, the Ava gives a modern presence to any setting."
Dining & Kitchen,Wishbone Chair,"The Wishbone Chair is a premium reproduction of one of the most classic designs from the mid-century modern era. A rare combination of natural and practical, its misleadingly complex construction stems from the designer's extensive knowledge of wood. The fluid lines and minimalist style create an airy feel while the Y-back creates a truly organic impression. The curving top rail and tapered legs are stunning additions to the comfortably flexible yet sturdy woven seat."
Dining & Kitchen,Round Counter Stool,"A Danish classic, the Round Counter Stool - Upholstered is quintessential for any modern home. Originally designed in 1949, this premium reproduction is revered for its iconic design and meticulous details. The natural, smooth curved back and intricately woven paper cord merge to create a contemporary, lightweight ambiance in any space."
Dining & Kitchen,Aubrey Armchair,"Aubrey is an elegant dining chair with modern appeal. Inspired by sophisticated Italian design, this chair is nicely curved to hold your body in natural comfort. Stylishly made with vegan leather upholstery, this sustainable material makes Aubrey animal friendly and more durable than the average chair."
Dining & Kitchen,Angelo Dining Chair,"The timeless silhouette of the Angelo Dining Chair exudes luxury within the home. Sleek black powder coated legs wrap around a full and accommodating seat and backrest filled with premium high density cushioning. Angelo's chic ambiance encourages a leisurely and indulgent dining experience, adding to your home's overall aesthetic. Bring Italian inspired design home with this modern piece available in your choice of premium upholstery."
Dining & Kitchen,Aubrey Side Chair,"Aubrey is an elegant dining chair with modern appeal. Inspired by sophisticated Italian design, this chair is nicely curved to shape and hold your body in natural comfort. Stylishly made with vegan leather upholstery, this sustainable material makes Aubrey animal friendly and more durable than the average chair."
Dining & Kitchen,Solana Dining Table,"Revealing its luxuriant character, the Solana invites you to delve into an atmosphere of pure sophistication with its curved form. Pairing a unique, luxuriant top with a contrasting brass base, the Solana Dining Table brings grace and modern luxury to any dining space."
Dining & Kitchen,Evelyn Dining Table,"Gorgeous, opulent table top and a handsome dark base are like the perfect homecoming pair. Made with your choice of white lacquer, white or black ceramic, carrara or black marble and dark wood, the Evelyn Dining Table is an immediately modern classic, simply designed and ready to bring home."
Bedroom,Asher Tall Dresser,"Asher’s seamless joinery and beautiful walnut veneer are inspired by Danish traditional mid-century masterpieces. The delicately sculpted frame falls 45 degrees into the drawers creating a beautiful casing and intricate depth. Neatly tapered solid wood legs complete the look with handsome brushed copper detail. The Asher Tall Dresser is ideal for clothing and collectibles, and completes the classic mid-century modern dream."
Bedroom,Mikkel Bed,"Mikkel is a simple and solid Danish design piece made from beautifully polished elm wood veneer and an upholstered headboard. The minimalist frame is carefully handcrafted with no added width or grandeur than what is needed for your queen or king sized mattress.  Finished with a uniquely constructed base that is carved with a meticulous 45 degree angle from solid ash wood, Mikkel is a reliable bed for your most restless nights."
Bedroom,Harper Bed,"Floating becomes an illusion with the creative support of solid stainless steel legs and imaginative design of an extremely wide-set and low frame. Inspired by Italian home design, Harper's fully upholstered frame is made from quality materials like California Phase 2 compliant MDF and durable fabrics. Subtle details, such as the slight wrap-around of the headboard, are the small features that make Harper a unique piece for the home. Harper's sophisticated representation of stylish modern design is available in King or Queen."
Bedroom,Bristol Sleeper Futon,"Dive into the sumptuous feel of the Bristol Futon. Made of plush, cloud-like cushioning, and luxurious materials, the Bristol creates a soothing atmosphere. Perfect for sitting back and lounging in or converting into a bed for optimal relaxation."
Bedroom,Asher Single Drawer Nightstand,"Asher’s seamless joinery and beautiful walnut or ash veneer are inspired by Danish traditional mid-century masterpieces. The delicately sculpted frame falls 45 degrees into the drawers creating a beautiful casing and intricate depth. Neatly tapered solid wood legs complete the look with handsome brushed copper detail. The Asher Nightstand is the perfect complement to the Asher bed frame, and completes the classic mid-century modern dream."
Bedroom,Asher Wide Dresser,"Asher’s seamless joinery and beautiful walnut or ash veneer are inspired by Danish traditional mid-century masterpieces. The delicately sculpted frame falls 45 degrees into the drawers creating a beautiful casing and intricate depth. Neatly tapered solid wood legs complete the look with handsome brushed copper detail. The Asher Wide Dresser is the perfect complement to the Asher bed frame, and completes the classic mid-century modern dream."
Bedroom,Wishbone Dresser,"Delight in the sophisticated warmth of the Wishbone Wide Dresser. Subtle yet elegant, the natural wood and cane detailing unites with the contemporary curves of this modern dresser to create a timeless balance in any bedroom."
Bedroom,Napa Headboard,Indulge yourself in the smooth curves and grand silhouette of the Napa Headboard. Emphasized by the channel tufted headboard and sumptuously upholstered frame the Napa offers a sense of modern elegance in any bedroom.
Bedroom,Porter Bed,"The Porter Bed is a simple structured bedframe with boxy flare and a low-set profile. Square sides are made like a side table, while an elevated backrest provides ample back support. High-density foam cushioning is nicely rounded and perfectly firm. Detailed pipe stitching around the edges finishes the eloquent modern modular bed design."
Bedroom,Wishbone Bed,"Delight in the sophisticated warmth of the Wishbone Bed. Subtle yet elegant, the natural wood and cane detailing unites with the contemporary curves of this modern bed frame to create a timeless balance in any bedroom."
Bedroom,Angelo Bed,"The timeless silhouette of the Angelo Bed exudes modern luxury within any home. Sumptuous upholstery wraps around the robust and accommodating frame, complementing the grandiose headboard. Angelo's chic ambiance creates an indulgent bedroom experience, adding to your home's overall aesthetic. Bring an Italian-inspired design home with this contemporary bedframe available in your choice of premium, durable upholstery."
Bedroom,Georgio Nightstand,"Georgio is an unparalleled contemporary nightstand, that captures the pure essence of modern luxury. Minute brass details and judiciously applied materials, accentuate the linear lines of the rich walnut slat detail. The Georgio Nightstand is the perfect foundation for any bedroom. Complete your bedroom with the Georgio Bed and Georgio Wide Dresser."
Bedroom,Milo Sleeper Sofa,"The sleek and flat profile of the Milo Sleeper Sofa marries sophisticated style with casual comfort. Milo’s subtle curves of the padded armrest add visual elegance while delivering plush and stable support for the spacious seating. Milo features a modern design that can be easily converted into a spacious bed, perfect for when you have guests over. Much like the grandeur of Italian design, Milo is especially suited for large luxury spaces as the design of the Milo is formed with more width than the average sofa, providing an overall grander feel for your home."
Bedroom,Georgio Bed,"Georgio is an unparalleled contemporary bed, that captures the pure essence of modern luxury. Minute brass details and judiciously applied materials, accentuate the linear lines of the rich walnut slat headboard and ebony base. The Georgio Bed is the perfect foundation for any bedroom. Complete your bedroom with the Georgio Nighstand and Georgio Wide Dresser."
Bedroom,Asher Nightstand,"Asher’s seamless joinery and beautiful walnut or ash veneer are inspired by Danish traditional mid-century masterpieces. The delicately sculpted frame falls 45 degrees into the drawers creating a beautiful casing and intricate depth. Neatly tapered solid wood legs complete the look with handsome brushed copper detail. The Asher Nightstand is the perfect complement to the Asher bed frame, and completes the classic mid-century modern dream."
Bedroom,Vienna Dresser,"Echoing principles from the postmodern era, the Vienna Wide Dresser stands out in any bedroom. Enriched with a sumptuous alabaster finish that cascades down like an abundant waterfall; the Vienna is the perfect contemporary dresser that fits any design style. Pair with the Vienna Nightstand to complete your bedroom space."
Bedroom,Georgio Wide Dresser,"Georgio is an unparalleled contemporary dresser, that captures the pure essence of modern luxury. Minute brass details and judiciously applied materials, accentuate the linear lines of the rich walnut slat detail and ebony drawer panels. The Georgio Wide Dresser is the perfect foundation for any bedroom. Complete your bedroom with the Georgio Bed and Georgio Nightstand."
Bedroom,Chloe Bed,"Enveloped in comfort, Chloe has an upholstered bed frame and headrest inspired by modern Italian design. Made with premium upholstery, the detailed headrest with gentle tufting is as much a piece of art as it is functional. The simple walnut wood halo adds a two-tone accent to the delicate natural sand colored textile. For extra softness, the wood bed frame is carefully padded with high-density foam for another layer of comfort."
Bedroom,Wishbone Nightstand,"Delight in the sophisticated warmth of the Wishbone Nightstand. Subtle yet elegant, the natural wood and cane detailing unites with the contemporary curves of this modern nightstand to create a timeless balance in any bedroom."
Bedroom,Vienna Nightstand,"Echoing principles from the postmodern era, the Vienna Nightstand stands out in any bedroom. Enriched with a sumptuous alabaster finish that cascades down like an abundant waterfall; the Vienna is the perfect contemporary dresser that fits any design style. Pair with the Vienna Dresser to complete your bedroom space."
Bedroom,Hunter Bed,"Hunter's handsome frame and choice of dreamy American walnut veneer or ash veneer are reminiscent of a modern cabin. The wide and low profile adds casual comfort to a good night, with a generous headboard composed of three sections. The low part joins seamlessly at the base of the frame, while the top portion of the extended headboard leans slightly back to collect all angles of comfort towards the center. The extended panels of the headboard are designed specifically for fitting complimentary nightstands under its wing, available in matching American walnut, ash veneer, or high gloss white lacquer for an unexpectedly cool contrast. Hunter is part of a four-piece modern bedroom set and is available in King or Queen."
Bedroom,Sarina Bed,"Take in the delightful and enchanting spirit of the Sarina Bed. Wrapped in a soft, luxurious material and modern walnut accents, the Sarina creates a captivating and sophisticated atmosphere."
Bedroom,Asher Bed,"Asher's seamless joinery and beautiful walnut or ash veneer are inspired by the design of traditional teak Danish mid-century masterpieces. Carefully crafted and delicately sculpted, the frame is beveled with 45-degree edges that fall towards the center, encapsulating the security of the headboard. At the base, which sits wide above slim tapered solid wood legs, the complementary edges gently slope outwards, gradually bringing you down into deeper, dramatic slumber. The Asher Bed is available in King or Queen and is part of a five-piece set that completes the classic mid-century modern dream."
Bedroom,Ophelia Bed,"Everything from the smooth upholstery, plush cushioning, and rounded edges exude elegance in this modern contemporary bed frame. Fully upholstered with a neat wrap-around tuck, Ophelia is a simple luxury piece ready to take home. With a retreat, this cozy, don't blame us if it's harder to get out of bed in the morning."
Living Room,Vonn Lounge Chair,"The spectacle of the Vonn Lounge Chair will envelop you into an atmosphere of sumptuous comfort. With its unparalleled silhouette and meticulous stitching, the Vonn captivates with its luxuriant character."
Living Room,Ivano Loveseat,"Immerse yourself in the opulent feel of the Ivano Loveseat. Artfully crafted, the horizontal tufting and grand silhouette create a luxurious, plush sink-in feel; making way for meaningful conversations and ultimate relaxation. Enjoy our preset configurations or customize your own design by purchasing pieces separately."
Living Room,Trio Coffee Table,"An emblematic expression of timeless elegance, Trio Coffee Table will transport you in an atmosphere of sophisticated luxury with its minimal and contemporary shape. Grounded by the unique three-legged base, the Trio offers a sense of modern opulence in any space."
Living Room,Ivano Sofa,"Immerse yourself in the opulent feel of the Ivano Sofa. Artfully crafted, the horizontal tufting and grand silhouette create a luxurious, plush sink-in feel; making way for meaningful conversations and ultimate relaxation. Enjoy our preset configurations or customize your own design by purchasing pieces separately."
Living Room,Augustus TV Stand - Walnut,"The Augustus Collection anchors any space with its soft tones. The luxurious smooth top is grounded with a black solid metal base. Featuring a sumptuously warm walnut veneer, delicate detailing, and modern dark cabinet fronts; the Augustus will add a touch of timeless elegance to any space."
Living Room,Dresden Sectional Sofa,"Compelling in its simple yet cutting edge style, the Dresden modular collection is a bold take on contemporary design. The sleek, low profile frame is met with grand cloud-like seat cushions to create the statement making structure. The Dresden also balances the expansive seating with an interchangeable side table insert that is offered in walnut, ash, marble, and white lacquer finishes. Grounded on cast stainless steel legs with an elegant brushed finish, this piece's thoughtful composition demonstrates an exceptional opportunity for modern luxury in your home."
Living Room,Truman Coffee Table,"The Truman Coffee Table is a contemporary piece unlike any other. Its sophisticated, functional form includes sliding hidden storage while a clean table top is practical for everyday use and display. Made with a striking combination of durable materials, this coffee table is a smart addition to any modern home."
Living Room,Porter Extended Sectional,"The Porter Extended Sectional is a simple structured sofa with boxy flare and a low-set profile. Square arm rests are made like a side table, while an elevated back rest provides ample lean-back support. High-density foam cushioning is nicely rounded and perfectly firm. Detailed pipe stitching around the edges finishes the eloquent modern design."
Living Room,Winston Media Console,"The Winston Media Console is an abstract presentation of the rule of thirds. Strangely but pleasantly balanced, this vibrant piece becomes a focal point with multiple storage opportunities. Aesthetic industrial lines meet crafted concave edges for an overall elegant and contemporary facade."
Living Room,Berlin L-Sectional,"Open your senses to the enticing shape of the Berlin L-Sectional. Punctuated by the smooth channel detailing and sumptuous upholstery, the Berlin embodies an atmosphere of modern luxury. Enjoy our preset configuration or customize your own design by purchasing pieces separately."
Living Room,Davos Lounge Chair,"Recline back into the luxurious, serene feel of the Davos Lounge Chair. Like a cloud, the plush sumptuous upholstery and contemporary silhouette of the Davos creates a monumental feel of tranquility in any space."
Living Room,Berlin Sectional Sofa,"Open your senses to the enticing shape of the Berlin Sectional Sofa. Punctuated by the smooth channel detailing and sumptuous upholstery, the Berlin embodies an atmosphere of modern luxury. Enjoy our preset configuration or customize your own design by purchasing pieces separately."
Living Room,Winston Media Console - Small,"Our popular Winston Media Console, now in a compact size. Strangely but pleasantly balanced, this vibrant characteristic piece becomes a focal point with multiple storage opportunities. Aesthetic industrial lines meet crafted concave edges for an overall elegant contemporary and modern facade. Winston's extendable feature allows it to fit into your space perfectly."
Living Room,Augustus TV Stand,"The Augustus Collection anchors any space with its soft tones. The luxurious marble top is grounded with a black solid metal base. Featuring a sumptuously warm walnut veneer, delicate detailing and modern dark cabinet fronts; the Augustus will add a touch of timeless elegance to any space."
